date,port_total
2015-02-05,0.00024433052961422245
2015-02-06,-0.00017696559935650262
2015-02-09,-0.0002697328297312562
2015-02-10,1.8780018403144385e-06
2015-02-11,-0.0002466798408610123
2015-02-12,-4.040945994223503e-06
2015-02-13,0.00018047732906561586
2015-02-16,8.147031228160012e-05
2015-02-17,9.849016275385133e-05
2015-02-18,0.00018708569347646687
2015-02-19,0.00010666171405751415
2015-02-20,-0.0001399772893398205
2015-02-23,0.00027058120054841337
2015-02-24,0.00022378116054084238
2015-02-25,-0.0003098303910756741
2015-02-26,0.0005921542547900389
2015-02-27,0.00011098686739534732
2015-03-02,4.361793138124444e-05
2015-03-03,-0.0005315132552557631
2015-03-04,-0.00015452987078508473
2015-03-05,0.00012592174197955722
2015-03-06,0.0002665402180550864
2015-03-09,-0.0001829400010178363
2015-03-10,0.00014018223271785674
2015-03-11,0.0006679623764391546
2015-03-12,-0.0005748612172123155
2015-03-13,-0.0002861834408145189
2015-03-16,0.00025089902145276113
2015-03-17,-0.00029393161840904835
2015-03-18,-0.00022801313173624951
2015-03-19,-0.00014945047096591354
2015-03-20,8.397409760238403e-05
2015-03-23,-0.0002581492317498183
2015-03-24,0.00031084673018678
2015-03-25,-0.0003818357424159037
2015-03-26,0.0002108015510730822
2015-03-27,0.00021329362617880177
2015-03-30,9.563534607010346e-05
2015-03-31,0.0001742394237217681
2015-04-01,7.390926370123213e-05
2015-04-02,-3.393154661695542e-05
2015-04-03,-0.0002666857703440163
2015-04-06,0.0003749894477316557
2015-04-07,0.00026309189107033613
2015-04-08,0.0003365096249647111
2015-04-09,0.0002172333753313389
2015-04-10,0.00021306631258708998
2015-04-13,0.00022883037608296454
2015-04-14,-7.269891849184565e-05
2015-04-15,-0.00036941677252742063
2015-04-16,-0.000201531570618331
2015-04-17,-0.00033293392120885306
2015-04-20,0.00028788243459174946
2015-04-21,0.0002284724818249223
2015-04-22,-0.000414587901044042
2015-04-23,-0.0003336895706281104
2015-04-24,0.0001266482239805408
2015-04-27,0.0008319483093494883
2015-04-28,-0.0007418870382702111
2015-04-29,-0.0007473926436628108
2015-04-30,-0.00048519741122144094
2015-05-01,0.00038207680425890716
2015-05-04,-0.00025402930136931954
2015-05-05,-0.0007240299744812961
2015-05-06,-0.00025928302954841484
2015-05-07,0.0003037789526841089
2015-05-08,0.00027798534377975034
2015-05-11,-0.00018304649183007826
2015-05-12,5.209998919655598e-05
2015-05-13,-0.00041526284422447755
2015-05-14,0.0003073024557215724
2015-05-15,-0.0001226339511437315
2015-05-18,0.00038761681943195114
2015-05-19,0.0007885080037188045
2015-05-20,6.990163976780841e-05
2015-05-21,-5.531237261153326e-06
2015-05-22,0.0002459879806319772
2015-05-25,0.0002871833992354127
2015-05-26,0.00034980107600804855
2015-05-27,7.286759210963748e-05
2015-05-28,-0.00045577190347347084
2015-05-29,1.5103326853964312e-05
2015-06-01,0.00038142022243981634
2015-06-02,-0.0008749339194210242
2015-06-03,-8.681711482412126e-05
2015-06-04,0.00014838773461257296
2015-06-05,-0.00011025301543703852
2015-06-08,-5.431414391626577e-05
2015-06-09,-0.00046668937095224944
2015-06-10,-0.00042844157853502663
2015-06-11,0.00034601385358641476
2015-06-12,5.251515885755387e-05
2015-06-15,-0.00030212017749639704
2015-06-16,9.15847457908468e-05
2015-06-17,9.70621862783347e-06
2015-06-18,-0.00039785073844714105
2015-06-19,5.8901012401610064e-05
2015-06-22,0.0005863391914814407
2015-06-23,0.00048187308729835454
2015-06-24,-2.939359781318995e-06
2015-06-25,-0.000303163471574019
2015-06-26,-0.0002707419865099736
2015-06-29,-0.0006829626987210547
2015-06-30,0.000664202450808256
2015-07-01,2.0082742588748754e-05
2015-07-02,0.00017828299836023548
2015-07-03,-0.0003178166675974841
2015-07-06,0.00024088290981787993
2015-07-07,0.0005473503774063511
2015-07-08,-0.0011255983160113636
2015-07-09,0.00042778789192018994
2015-07-10,0.0005114422057259991
2015-07-13,0.0001273967717748323
2015-07-14,0.0002237368011089824
2015-07-15,0.0003338296347752334
2015-07-16,0.000287991938342872
2015-07-17,0.00013335287623429768
2015-07-20,0.00019146421381382642
2015-07-21,-0.00013633873432884573
2015-07-22,-0.00028978618411103067
2015-07-23,-7.88853902838088e-05
2015-07-24,-0.00020121533334540697
2015-07-27,-0.0006512022244608372
2015-07-28,0.00012908188263580545
2015-07-29,0.00033197901793119384
2015-07-30,-0.00021500981689086572
2015-07-31,-0.00029935779397700956
2015-08-03,8.742558264454597e-05
2015-08-04,-0.00016571361759643008
2015-08-05,-5.897647990384653e-05
2015-08-06,-0.0001967807225224648
2015-08-07,0.00033357870149848827
2015-08-10,0.00017644140691224088
2015-08-11,0.0030819381326238062
2015-08-12,0.0012272162535095664
2015-08-13,-0.0006074304018714689
2015-08-14,0.0002973792806824783
2015-08-17,-0.0001917452530909897
2015-08-18,4.479826887465454e-05
2015-08-19,-3.786066799910592e-05
2015-08-20,-0.0001892638909308663
2015-08-21,-0.0005133917510347719
2015-08-24,-0.0013143728276501943
2015-08-25,0.0005880487008056078
2015-08-26,-0.00029538669628167383
2015-08-27,0.00037901779759992734
2015-08-28,-9.441655270629973e-06
2015-08-31,-0.00031617016206086245
2015-09-01,-0.0006259171599299868
2015-09-02,-0.0003229954308602032
2015-09-03,-5.6266433266367736e-05
2015-09-04,-0.0005883352254927591
2015-09-07,5.510977104054339e-05
2015-09-08,0.0003669329601302927
2015-09-09,0.00032617360395708597
2015-09-10,-0.0006661126608144656
2015-09-11,-0.000248670405076787
2015-09-14,0.0001860347518944246
2015-09-15,-0.0002635711608107548
2015-09-16,0.0004094504294781985
2015-09-17,-0.00022061701898013568
2015-09-18,-0.00036768549707246465
2015-09-21,0.00026495171988590727
2015-09-22,-0.0007833868906762722
2015-09-23,-0.0008909067028120342
2015-09-24,0.0007295213952244646
2015-09-25,0.0007726992941157191
2015-09-28,-0.00047891686614827715
2015-09-29,-0.00043388838006578137
2015-09-30,0.0005700690446165703
2015-10-01,-4.478284293171964e-05
2015-10-02,0.00020813862653477677
2015-10-05,0.00028994761171308246
2015-10-06,0.0001966847699682704
2015-10-07,-0.0003295448007956539
2015-10-08,0.0005647344412837591
2015-10-09,2.59143471980576e-05
2015-10-12,7.854725342575151e-05
2015-10-13,-0.000728726197718382
2015-10-14,0.0004103419826903209
2015-10-15,0.0007447286905363975
2015-10-16,8.046443393613931e-05
2015-10-19,-0.0005874868770724922
2015-10-20,-0.0001582951386874096
2015-10-21,-0.00027685098216241485
2015-10-22,0.0007511233405928265
2015-10-23,-2.8949521331347676e-05
2015-10-26,-1.8336735774712487e-05
2015-10-27,0.00024049375057889265
2015-10-28,0.00041774664425239084
2015-10-29,-0.00012770148719046546
2015-10-30,-0.00022738243800678515
2015-11-02,3.834484614598444e-05
2015-11-03,0.000220725120586003
2015-11-04,-0.00021560435501961943
2015-11-05,0.00034762702254143745
2015-11-06,0.00035828498950518894
2015-11-09,-0.00010805248402274552
2015-11-10,0.00024294810235516177
2015-11-11,9.294540801716312e-05
2015-11-12,-0.00026113803399579474
2015-11-13,-8.273005408126162e-05
2015-11-16,-8.713781222766006e-05
2015-11-17,0.0002749430427538367
2015-11-18,0.0002789531709547574
2015-11-19,0.00030008611798093153
2015-11-20,6.065374246994477e-05
2015-11-23,0.00016076195814318539
2015-11-24,-1.051376375838916e-05
2015-11-25,1.9007606106790736e-05
2015-11-26,-5.2638678808312125e-05
2015-11-27,-0.00022091716949737328
2015-11-30,-0.00041531882730988105
2015-12-01,1.3916138388857977e-05
2015-12-02,0.0005715870536205435
2015-12-03,-0.0003474226692152633
2015-12-04,0.00012831085522966445
2015-12-07,-0.0001452262315368713
2015-12-08,-0.00011791006527570383
2015-12-09,-0.0004919929326741863
2015-12-10,-0.0007943576592438998
2015-12-11,-0.0005632998598397573
2015-12-14,0.0006256590411492853
2015-12-15,0.0003349532725705212
2015-12-16,-0.00017272272156734577
2015-12-17,0.0005671256412265566
2015-12-18,0.00012034320588343852
